,sensor,agg,axis,feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking,fi_walking_up,fi_walking_down
0,tBodyAcc,mean(),X,tBodyAcc-mean()-X,0.00021254315799993748,0.0,0.00020799842719792039,0.0002473994536966603,8.190982961141886e-05,7.546071946711428e-05,0.00023775396036158762,0.00020627562767222698
1,tBodyAcc,mean(),Y,tBodyAcc-mean()-Y,0.00022575923011422972,9.83570830481731e-06,0.0003109049697534213,0.0002108253662799075,6.560824730452625e-05,5.368707139775296e-05,0.0005491282587973747,0.0002655985307435199
2,tBodyAcc,mean(),Z,tBodyAcc-mean()-Z,0.00012225186005738483,0.0,0.00023250599244167489,0.000356160599173407,1.5656763574740987e-05,6.891003223535214e-05,0.0005434098868819246,0.00011796226352763199
3,tBodyAcc,std(),X,tBodyAcc-std()-X,0.006849894968635402,1.966104383321948e-05,0.004783562531862181,0.0006789894132135363,0.003938698177592194,0.00449376946800335,0.011463343233103974,0.01945389465659519
4,tBodyAcc,std(),Y,tBodyAcc-std()-Y,7.953453837007668e-05,0.0,0.00452046722051017,0.0005329393729583532,2.6922027183739394e-05,0.0001754368284253803,0.0006083655922646983,0.0010038628100159565
5,tBodyAcc,std(),Z,tBodyAcc-std()-Z,0.0001940535042958967,0.0,0.0002633411326940735,0.0009953121746555996,0.00017622962083744197,0.0001296997537883269,0.0033190167126500953,0.0005938497101089159
6,tBodyAcc,mad(),X,tBodyAcc-mad()-X,0.002474216136582737,0.0,0.008530157295078994,0.0033965799209411656,5.401748882071456e-05,0.005039823305638912,0.005440714298462586,0.013581260308972758
7,tBodyAcc,mad(),Y,tBodyAcc-mad()-Y,0.0003769443743769655,1.967151883815591e-05,0.0024103894433040824,0.0006184336925486057,4.5781220223079675e-05,1.4786306002917945e-05,0.00022823974684815822,0.001170492150398443
8,tBodyAcc,mad(),Z,tBodyAcc-mad()-Z,0.0006757814338393142,0.0,0.00031153646558231116,0.0007704397974331997,0.0002244136799249379,0.00014066967415156216,0.0005091617958806558,0.0010135222932738377
9,tBodyAcc,max(),X,tBodyAcc-max()-X,0.008642864646176482,2.9501090403115127e-05,0.0008045899079756986,0.0021885201623745277,0.00047966074270226,0.006153335597216313,0.011018313187018973,0.020078574154600123
10,tBodyAcc,max(),Y,tBodyAcc-max()-Y,0.00018409202274039503,0.0,0.00013694661622580832,0.00029156656089263897,1.389749885538093e-05,0.00012597699659422604,0.0005430243105756715,0.00014567166206556174
11,tBodyAcc,max(),Z,tBodyAcc-max()-Z,0.00019776217915261075,0.0,0.0003344549680289372,0.0002630498658594713,0.0,5.247813411078716e-05,5.098175710833502e-05,0.0006750783289988121
12,tBodyAcc,min(),X,tBodyAcc-min()-X,0.0003157222435328173,4.874926517521799e-05,0.0005341857229797692,0.0007497448271984154,1.5716245065897188e-05,0.0007958541448476771,0.0005361074331223258,0.0007891356008742814
13,tBodyAcc,min(),Y,tBodyAcc-min()-Y,0.00014901726977009202,6.005062785533367e-06,0.005922839484994034,0.00021638162450045195,0.0,0.00013406535144791054,0.00034740362605021057,0.0006170437538258504
14,tBodyAcc,min(),Z,tBodyAcc-min()-Z,0.00017844565543677815,0.0,0.0004593275434390075,0.0007379873462104858,6.523408213534293e-05,0.0001424050595049946,0.00021142078521933734,0.00030826480073497197
15,tBodyAcc,sma(),,tBodyAcc-sma(),0.00013535760972427816,0.0,0.007893109936913693,0.00016498163519047216,6.270806925659208e-05,0.0019874728577911186,0.001219897726196272,0.004674286586058478
16,tBodyAcc,energy(),X,tBodyAcc-energy()-X,0.003467435330839105,0.0,0.006161422167806796,0.0029579569938561474,0.0008323106068010365,0.009000266720405247,0.008571574814628427,0.02119842614592901
17,tBodyAcc,energy(),Y,tBodyAcc-energy()-Y,0.0004402973698434281,0.0,0.00030883520222700357,0.0005340686332500085,0.00015892233906840173,0.00018224956717233692,0.0005240240649195544,0.0008609991515802432
18,tBodyAcc,energy(),Z,tBodyAcc-energy()-Z,0.0007509359827055242,0.0,9.510044902161497e-05,0.0004461432947589507,4.4692424825560836e-05,0.00021034205246944028,0.0005168817684791199,0.0001326113318831061
19,tBodyAcc,iqr(),X,tBodyAcc-iqr()-X,0.002277905761500759,0.00987466431181656,0.0027929026036843984,0.0005437511080327423,0.0005050920422404235,0.0002793268210199719,0.0007788660132420971,0.008792848914522183
20,tBodyAcc,iqr(),Y,tBodyAcc-iqr()-Y,0.0002760280199837949,0.0,0.0025761926002425333,0.00014005956493502115,7.05972732015187e-05,0.00011761378638087879,0.00015805076838438904,0.0005124717583458742
21,tBodyAcc,iqr(),Z,tBodyAcc-iqr()-Z,0.00038055431547758195,0.0,0.00026463121287804184,0.0005035353673929596,0.00010199750905248951,2.45795446139873e-05,0.00014973230186784322,0.00032850566352402466
22,tBodyAcc,entropy(),X,tBodyAcc-entropy()-X,0.001177126216388094,5.941513050469872e-05,0.000323181910043054,0.0038664806699496707,0.00044117286211695187,0.0006297256947263558,0.0015157493038540416,0.005756862776145135
23,tBodyAcc,entropy(),Y,tBodyAcc-entropy()-Y,8.488562132671055e-05,9.88541469026385e-06,0.00034978969839524374,0.00043394827475256816,0.0008341702691318879,0.00027221431119362426,0.0007504302713374833,0.00034896657343481643
24,tBodyAcc,entropy(),Z,tBodyAcc-entropy()-Z,0.00028240085230642507,3.943176511096196e-05,0.00024256311305797428,0.0006420366687466087,5.125083797655512e-05,3.830169612777314e-05,0.0008323935485665759,0.0008357693554015891
